context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Quantile + MI|4|10|Medium,extra_trees,148,AFP;Output;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",1632.8539557156857,2620139331.0,4175482243,1832677311.0
scale_nested_et|strict6|Quantile + MI|4|10|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5412.975889378054,2344428167.0,3210154200,371535334.0
benchmark|strict6|random_forest|4|10|All,random_forest,450,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",2610.1977227242046,1194387825.0,725579752,433402065.0
benchmark|strict6|xgboost|4|10|All,xgboost,450,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",2714.5301745605466,3042521629.0,3941817944,1346551705.0
benchmark|strict6|lightgbm|4|10|All,lightgbm,450,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 0.0, ""subsample"": 0.8}",2740.56370179147,1904484138.0,2675152200,805820609.0
benchmark|strict6|stacking|4|10|All,stacking,450,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 3109501721, ""stack_cv_splits"": 5}",,,3109501721,
scale_nested_et|strict6|Global|5|1|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",2640.6534726815485,864396034.0,570575051,2565330266.0
scale_nested_et|strict6|Global + MI|5|1|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2615.640471721197,169944278.0,3101841423,168809757.0
scale_nested_et|strict6|Quantile|5|1|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",754.6326171155652,4036816564.0,2231719114,2650272662.0
scale_nested_et|strict6|Quantile|5|1|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 500}",1622.683000016529,4111152593.0,1605782238,1760204782.0
scale_nested_et|strict6|Quantile|5|1|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5490.117280013812,3634012869.0,1721005884,3219636916.0
scale_nested_et|strict6|Quantile + MI|5|1|Small,extra_trees,152,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",737.6252063977327,3466787981.0,1083080121,2812823656.0
scale_nested_et|strict6|Quantile + MI|5|1|Medium,extra_trees,147,AFP;Input;Output,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",1608.746397061783,2970735902.0,1702497011,602591861.0
scale_nested_et|strict6|Quantile + MI|5|1|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",5616.907384708994,2502547839.0,3782170789,1731930461.0
benchmark|strict6|random_forest|5|1|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",2637.213283211495,3239786520.0,1572093372,1328313922.0
benchmark|strict6|xgboost|5|1|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",2835.8720721330865,215418004.0,2248847958,1430765707.0
benchmark|strict6|lightgbm|5|1|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 10, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_lambda"": 0.0, ""subsample"": 1.0}",2761.5249652285765,2140242707.0,4125212495,3274799331.0
benchmark|strict6|stacking|5|1|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 339568440, ""stack_cv_splits"": 5}",,,339568440,
scale_nested_et|strict6|Global|5|2|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",2572.413472115481,2889745839.0,1207108960,3366709614.0
scale_nested_et|strict6|Global + MI|5|2|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",2627.5208502783057,719480937.0,3360751841,612740109.0
scale_nested_et|strict6|Quantile|5|2|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",827.9245978987707,3534598756.0,2492529836,3362003706.0
scale_nested_et|strict6|Quantile|5|2|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",1623.4680896454036,4292656945.0,2951897585,1168302797.0
