context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
benchmark|strict6|xgboost|1|6|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",2464.69438154865,90376027,2288547967,1594296055
benchmark|strict6|lightgbm|1|6|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_lambda"": 0.0, ""subsample"": 1.0}",2631.99091816066,440030830,1862629763,1678933163
benchmark|strict6|stacking|1|6|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 2232227997, ""stack_cv_splits"": 5}",,,2232227997,
scale_nested_et|strict6|Global|1|7|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",2652.73336543981,1200574078,2948942631,3717472745
scale_nested_et|strict6|Global + MI|1|7|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",2593.54812273115,2638525990,1663539712,1189846551
scale_nested_et|strict6|Quantile|1|7|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 500}",699.250295575152,157509240,1614158618,269022489
scale_nested_et|strict6|Quantile|1|7|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}",1616.84044768594,2971845097,3470427368,4194703239
scale_nested_et|strict6|Quantile|1|7|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",5552.50978462445,976170554,2090397471,124925199
scale_nested_et|strict6|Quantile + MI|1|7|Small,extra_trees,152,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",728.402402486563,1986971768,1249020783,1518914998
scale_nested_et|strict6|Quantile + MI|1|7|Medium,extra_trees,147,AFP;Output;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",1567.4508894985,513942205,780580661,2517957426
scale_nested_et|strict6|Quantile + MI|1|7|Large,extra_trees,150,Input;Enquiry;File,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",5768.76400785596,4209466091,1086437359,2120856756
benchmark|strict6|random_forest|1|7|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2732.87099088744,13689503,645096641,1175834711
benchmark|strict6|xgboost|1|7|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",2606.62042151853,1837592879,2012694530,1276493368
benchmark|strict6|lightgbm|1|7|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0, ""subsample"": 1.0}",2687.43504955909,1793583683,1133941781,3514438000
benchmark|strict6|stacking|1|7|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 1070273415, ""stack_cv_splits"": 5}",,,1070273415,
scale_nested_et|strict6|Global|1|8|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300}",2747.73557873591,2584046315,149358420,2773213930
scale_nested_et|strict6|Global + MI|1|8|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",2799.96603023457,2462472181,3461200217,18328571
scale_nested_et|strict6|Quantile|1|8|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",821.391809889965,766655402,623180427,2299298884
scale_nested_et|strict6|Quantile|1|8|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",1715.3581417292,321254264,2808181863,3602001708
scale_nested_et|strict6|Quantile|1|8|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",5904.82514583401,3667298699,936569541,3817247610
