family,feature_set,method,metric,estimate_full_precision,ci_2_5,ci_97_5,bootstrap_replicates
scale_fixed_et_sensitivity,strict6,Global,R2,0.37203494144867,0.211650239597892,0.475735647206139,5000
scale_fixed_et_sensitivity,strict6,Global + MI,MAE,2711.00823939718,2361.46483713359,3089.53290889698,5000
scale_fixed_et_sensitivity,strict6,Global + MI,RMSE,4958.38218284471,4040.53130709645,5915.44801616086,5000
scale_fixed_et_sensitivity,strict6,Global + MI,Pred25,19.5991983967936,16.6332665330661,22.7254509018036,5000
scale_fixed_et_sensitivity,strict6,Global + MI,R2,0.413475025297156,0.273026001193818,0.51333767272024,5000
scale_fixed_et_sensitivity,strict6,Quantile,MAE,2790.27131514589,2414.81667990963,3193.57517853269,5000
scale_fixed_et_sensitivity,strict6,Quantile,RMSE,5183.77876777869,4279.55042143475,6113.4658837566,5000
scale_fixed_et_sensitivity,strict6,Quantile,Pred25,18.9579158316633,15.8316633266533,22.0851703406813,5000
scale_fixed_et_sensitivity,strict6,Quantile,R2,0.358938891976242,0.193864611833003,0.466011450357964,5000
scale_fixed_et_sensitivity,strict6,Quantile + MI,MAE,2700.91833313162,2344.08918710204,3082.3026231667,5000
scale_fixed_et_sensitivity,strict6,Quantile + MI,RMSE,4987.46113050859,4088.47880279362,5934.09606916642,5000
scale_fixed_et_sensitivity,strict6,Quantile + MI,Pred25,19.8396793587174,17.0340681362725,22.7665330661322,5000
scale_fixed_et_sensitivity,strict6,Quantile + MI,R2,0.406575379253937,0.258754751293622,0.508197911644785,5000
scale_fixed_et_sensitivity,uncertain9,Global,MAE,2641.304570291,2283.54021424573,3024.9021735674,5000
scale_fixed_et_sensitivity,uncertain9,Global,RMSE,4914.48085052307,4046.23351547036,5779.31937291038,5000
scale_fixed_et_sensitivity,uncertain9,Global,Pred25,19.1182364729459,15.9919839679359,22.3246492985972,5000
scale_fixed_et_sensitivity,uncertain9,Global,R2,0.423815186877679,0.252038392746753,0.537513391292236,5000
